opportunity,checkpoints,statuses,pass_local_count,first_pass_ct,actual_send_checkpoints,corrected_send_checkpoints,guard_values,first_actual_send_ct,fills,pnl_points
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v2/S1,30,"{""waiting_confirm"": 15, ""invalidation_refused"": 4, ""passes_known_local_checks"": 10, ""rr_refused"": 1}",10,2026-09-03T09:05:00-05:00,5,5,cancel_marketable;outside_band;send_limit,2026-09-03T09:05:00-05:00,UNMEASURABLE,UNMEASURABLE
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v3/S2,29,"{""waiting_confirm"": 5, ""passes_known_local_checks"": 22, ""rr_refused"": 2}",22,2026-09-03T09:21:00-05:00,9,9,cancel_marketable;outside_band;send_limit,2026-09-03T09:21:00-05:00,UNMEASURABLE,UNMEASURABLE
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S2,38,"{""waiting_confirm"": 38}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S3,38,"{""waiting_confirm"": 38}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v7/S3,197,"{""waiting_confirm"": 31, ""passes_known_local_checks"": 16, ""recorded_dormant_requires_fresh_authorization"": 150}",16,2026-09-03T11:59:00-05:00,5,5,outside_band;send_limit,2026-09-03T11:59:00-05:00,UNMEASURABLE,UNMEASURABLE
2026-09-03:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v4/S1,39,"{""waiting_confirm"": 39}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
2026-09-03:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v5/S3,248,"{""waiting_confirm"": 48, ""recorded_dormant_requires_fresh_authorization"": 200}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
2026-09-03:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S3,40,"{""waiting_confirm"": 40}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
2026-09-04:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v1/S2,5,"{""invalidation_refused"": 5}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
2026-09-04:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v2/S1,352,"{""waiting_confirm"": 30, ""recorded_dormant_requires_fresh_authorization"": 322}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v2/S1,22,"{""rr_refused"": 13, ""waiting_confirm"": 9}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v2/S2,22,"{""passes_known_local_checks"": 11, ""waiting_confirm"": 11}",11,2026-09-04T08:45:00-05:00,0,0,outside_band,,UNMEASURABLE,UNMEASURABLE
2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v3/S1,128,"{""waiting_confirm"": 6, ""invalidation_refused"": 8, ""passes_known_local_checks"": 114}",114,2026-09-04T09:10:00-05:00,3,3,outside_band;send_limit,2026-09-04T09:10:00-05:00,UNMEASURABLE,UNMEASURABLE
2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v3/S2,128,"{""waiting_confirm"": 30, ""rr_refused"": 58, ""passes_known_local_checks"": 40}",40,2026-09-04T10:16:00-05:00,40,0,send_stop_price_zero,2026-09-04T10:16:00-05:00,UNMEASURABLE,UNMEASURABLE
2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v4/S1,25,"{""waiting_confirm"": 25}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v4/S2,50,"{""passes_known_local_checks"": 25, ""waiting_confirm"": 25}",25,2026-09-04T11:04:00-05:00,0,0,outside_band,,UNMEASURABLE,UNMEASURABLE
2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v5/S1,84,"{""passes_known_local_checks"": 61, ""recorded_dormant_requires_fresh_authorization"": 22, ""waiting_confirm"": 1}",61,2026-09-04T11:29:00-05:00,0,0,outside_band,,UNMEASURABLE,UNMEASURABLE
2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S1,10,"{""waiting_confirm"": 10}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
2026-09-04:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S2,20,"{""passes_known_local_checks"": 19, ""waiting_confirm"": 1}",19,2026-09-04T12:11:00-05:00,0,0,outside_band,,UNMEASURABLE,UNMEASURABLE
