source,line,text
/home/hoang/nofx/data/nofx_2026-09-02.log,25023,09-02 09:46:30 [INFO] trader/auto_trader.go:43 [trader_id=8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265 trader_name=hoang] 🛑 arm stop NY S1 leg 1 long: stop 29058.25 (authored 29099.00 WIDENED) · anchor PDC 29058.75 → beyond 29058.25 · atr_floor 29081.91 (1.5×ATR5m 35.82) · bound=anchor
/home/hoang/nofx/data/nofx_2026-09-02.log,25126,09-02 09:55:01 [WARN] trader/auto_trader.go:48 [trader_id=8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265 trader_name=hoang] ⚔️ arm REFUSED NY S1 leg 1: R:R 0.95 below arm min 2.00 · rr refusals this session: 1
/home/hoang/nofx/data/nofx_2026-09-02.log,25189,09-02 09:59:27 [INFO] ninjatrader/close_sync.go:206 ⏳ re-entry cooldown armed: MNQ LONG stop=29115.00 (owner=8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265)
/home/hoang/nofx/data/nofx_2026-09-02.log,26853,09-02 10:25:01 [WARN] trader/auto_trader.go:48 [trader_id=8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265 trader_name=hoang] ⚔️ arm REFUSED NY S3 leg 1: R:R 1.74 below arm min 2.00 · rr refusals this session: 2
/home/hoang/nofx/data/nofx_2026-09-02.log,27045,09-02 10:34:48 [WARN] kernel/engine_position.go:229 🛑 MIN-SL REJECT MNQ open_long: sl_too_tight: 26.0 < 1.5×ATR (34.8) — widen or skip
/home/hoang/nofx/data/nofx_2026-09-02.log,27046,09-02 10:34:48 [WARN] kernel/engine_analysis.go:695 ⚠️ AI response parse failed (attempt 1/3) — retrying with the error fed back: decision validation failed: decision #1 validation failed: sl_too_tight: 26.0 < 1.5×ATR (34.8) — widen or skip
/home/hoang/nofx/data/nofx_2026-09-02.log,27055,09-02 10:36:09 [WARN] kernel/engine_position.go:229 🛑 MIN-SL REJECT MNQ open_long: sl_too_tight: 50.8 < 1.5×ATR (34.8) — widen or skip
/home/hoang/nofx/data/nofx_2026-09-02.log,27056,09-02 10:36:09 [WARN] kernel/engine_analysis.go:695 ⚠️ AI response parse failed (attempt 2/3) — retrying with the error fed back: decision validation failed: decision #1 validation failed: sl_too_tight: 50.8 < 1.5×ATR (34.8) — widen or skip
/home/hoang/nofx/data/nofx_2026-09-02.log,28267,09-02 10:49:30 [INFO] ninjatrader/close_sync.go:206 ⏳ re-entry cooldown armed: MNQ LONG stop=29143.75 (owner=8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265)
/home/hoang/nofx/data/nofx_2026-09-02.log,28431,09-02 10:50:49 [WARN] kernel/engine_position.go:229 🛑 MIN-SL REJECT MNQ open_long: sl_too_tight: 40.0 < 1.5×ATR (32.2) — widen or skip
/home/hoang/nofx/data/nofx_2026-09-02.log,28432,09-02 10:50:49 [WARN] kernel/engine_analysis.go:695 ⚠️ AI response parse failed (attempt 1/3) — retrying with the error fed back: decision validation failed: decision #1 validation failed: sl_too_tight: 40.0 < 1.5×ATR (32.2) — widen or skip
/home/hoang/nofx/data/nofx_2026-09-02.log,38912,09-02 13:02:29 [INFO] trader/auto_trader.go:43 [trader_id=8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265 trader_name=hoang] 🛑 arm stop NY S1 leg 1 long: stop 29101.50 (authored 29138.75 WIDENED) · anchor OR-H 29102.00 → beyond 29101.50 · atr_floor 29127.15 (1.5×ATR5m 24.56) · bound=anchor
/home/hoang/nofx/data/nofx_2026-09-02.log,39000,09-02 13:06:29 [WARN] trader/auto_trader.go:48 [trader_id=8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265 trader_name=hoang] ⚔️ arm REFUSED NY S1 leg 1: R:R 1.32 below arm min 2.00 · rr refusals this session: 3
/home/hoang/nofx/data/nofx_2026-09-02.log,40385,"09-02 14:10:29 [WARN] trader/auto_trader.go:48 [trader_id=8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265 trader_name=hoang] ✕ armed S3 cancelled — price 29167.50 already above entry 29166.80 (marketable, never placed)"
/home/hoang/nofx/data/nofx_2026-09-02.log,43348,09-02 16:36:29 [ERRO] trader/auto_trader.go:53 [trader_id=8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265 trader_name=hoang] ⛔ planner preflight refused level_event: stale_bars_2189s (session=ASIA trade_date=2026-09-02) — refusing to call the LLM with no market data (the 0-scenario fail-closed stub class); the read window retries next cycle
/home/hoang/nofx/data/nofx_2026-09-02.log,44627,09-02 17:47:43 [WARN] kernel/engine_position.go:229 🛑 MIN-SL REJECT MNQ open_short: sl_too_tight: 21.5 < 1.5×ATR (17.3) — widen or skip
/home/hoang/nofx/data/nofx_2026-09-02.log,44628,09-02 17:47:43 [WARN] kernel/engine_analysis.go:695 ⚠️ AI response parse failed (attempt 1/3) — retrying with the error fed back: decision validation failed: decision #1 validation failed: sl_too_tight: 21.5 < 1.5×ATR (17.3) — widen or skip
/home/hoang/nofx/data/nofx_2026-09-02.log,45023,09-02 17:51:14 [INFO] bwclone/main.go:240 🔐 BOOT INTEGRITY OK — rev 4d159022c114 · built 2026-09-02T17:30:48Z · expected 4d159022c114 · goldens PASS
