opportunity,leg,status,reason,kind,entry,authored_stop,target
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v11/S3,,disabled,stored arm is absent or disabled,limit,,,
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v11/S4,,disabled,stored arm is absent or disabled,limit,,,
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v12/S1,0,checkpoint_evaluated,,limit,29208.69,29237.75,29141.25
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v12/S2,0,checkpoint_evaluated,,limit,29132.5,29161.5,29042.75
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v12/S3,,disabled,stored arm is absent or disabled,limit,,,
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v13/S1,0,checkpoint_evaluated,,limit,29199.5,29226,29132.5
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v13/S2,,disabled,stored arm is absent or disabled,limit,,,
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v13/S3,,disabled,stored arm is absent or disabled,limit,,,
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v14/S1,0,checkpoint_evaluated,,limit,29228.75,29250,29186.14
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v14/S2,,disabled,stored arm is absent or disabled,limit,,,
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v14/S3,,disabled,stored arm is absent or disabled,limit,,,
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v14/S4,0,checkpoint_evaluated,,limit,29255,29275.25,29214.5
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v15/S1,,disabled,stored arm is absent or disabled,limit,,,
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v15/S2,,disabled,stored arm is absent or disabled,limit,,,
2026-09-03:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v1/S1,,disabled,stored arm is absent or disabled,limit,,,
2026-09-03:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v1/S2,,disabled,stored arm is absent or disabled,limit,,,
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v1/S1,0,checkpoint_evaluated,,limit,29259.67,29289,29178.73
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v1/S2,,disabled,stored arm is absent or disabled,,,,
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v1/S3,,disabled,stored arm is absent or disabled,limit,,,
2026-09-03:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v2/S1,0,checkpoint_evaluated,,limit,29219.97,29255,29144.5
2026-09-03:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v2/S2,,disabled,stored arm is absent or disabled,limit,,,
2026-09-03:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v2/S3,,disabled,stored arm is absent or disabled,limit,,,
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v2/S1,0,checkpoint_evaluated,,limit,29285,29340,29144.5
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v2/S2,,disabled,stored arm is absent or disabled,limit,,,
