rowid,symbol,tf,open_time_ms,o,h,l,c,v,convention
434899,MNQ,1m,1788331860000,29060.75,29068.5,29056.0,29059.5,955.0,epoch_floor
434900,MNQ,1m,1788331920000,29059.75,29065.0,29059.25,29061.25,497.0,epoch_floor
434901,MNQ,1m,1788331980000,29061.5,29062.75,29054.75,29055.25,515.0,epoch_floor
434902,MNQ,1m,1788332040000,29055.25,29056.75,29052.0,29054.0,466.0,epoch_floor
434903,MNQ,1m,1788332100000,29054.25,29058.5,29051.0,29054.5,544.0,epoch_floor
434904,MNQ,1m,1788332160000,29053.75,29065.25,29052.25,29064.25,706.0,epoch_floor
434905,MNQ,1m,1788332220000,29064.0,29067.25,29061.25,29062.5,466.0,epoch_floor
434906,MNQ,1m,1788332280000,29063.25,29069.0,29061.5,29069.0,582.0,epoch_floor
434907,MNQ,1m,1788332340000,29068.5,29080.75,29066.75,29076.75,1003.0,epoch_floor
434908,MNQ,1m,1788332400000,29076.75,29090.0,29065.25,29087.0,1917.0,epoch_floor
434909,MNQ,1m,1788332460000,29087.25,29090.5,29082.0,29083.5,993.0,epoch_floor
434910,MNQ,1m,1788332520000,29083.75,29104.25,29083.5,29095.5,1591.0,epoch_floor
434911,MNQ,1m,1788332580000,29095.0,29104.5,29091.0,29103.25,984.0,epoch_floor
434912,MNQ,1m,1788332640000,29102.75,29105.75,29098.25,29101.0,944.0,epoch_floor
434913,MNQ,1m,1788332700000,29100.5,29104.25,29095.75,29097.25,731.0,epoch_floor
434914,MNQ,1m,1788332760000,29097.5,29108.5,29097.5,29101.25,961.0,epoch_floor
434915,MNQ,1m,1788332820000,29101.5,29102.25,29095.75,29098.75,498.0,epoch_floor
434916,MNQ,1m,1788332880000,29098.75,29104.0,29098.0,29101.5,465.0,epoch_floor
434917,MNQ,1m,1788332940000,29101.75,29114.5,29101.0,29110.0,907.0,epoch_floor
434918,MNQ,1m,1788333000000,29109.75,29121.0,29109.25,29118.0,1313.0,epoch_floor
434919,MNQ,1m,1788333060000,29118.0,29118.0,29107.75,29108.0,648.0,epoch_floor
434920,MNQ,1m,1788333120000,29108.0,29112.5,29103.0,29109.25,893.0,epoch_floor
434921,MNQ,1m,1788333180000,29109.5,29113.0,29100.5,29109.5,710.0,epoch_floor
434922,MNQ,1m,1788333240000,29111.0,29114.5,29098.25,29103.0,609.0,epoch_floor
434923,MNQ,1m,1788333300000,29103.25,29108.75,29099.0,29106.25,643.0,epoch_floor
434924,MNQ,1m,1788333360000,29106.0,29115.5,29101.75,29113.0,702.0,epoch_floor
434925,MNQ,1m,1788333420000,29114.0,29115.75,29109.75,29111.75,412.0,epoch_floor
434926,MNQ,1m,1788333480000,29112.0,29116.25,29110.0,29112.5,309.0,epoch_floor
434927,MNQ,1m,1788333540000,29112.5,29117.75,29112.5,29114.25,375.0,epoch_floor
434928,MNQ,1m,1788333600000,29113.25,29114.25,29103.25,29109.5,604.0,epoch_floor
434929,MNQ,1m,1788333660000,29109.5,29113.75,29108.0,29108.5,327.0,epoch_floor
434930,MNQ,1m,1788333720000,29108.0,29109.5,29096.25,29100.5,838.0,epoch_floor
434931,MNQ,1m,1788333780000,29100.0,29113.0,29098.25,29104.5,757.0,epoch_floor
434932,MNQ,1m,1788333840000,29105.0,29105.5,29097.75,29100.25,541.0,epoch_floor
434933,MNQ,1m,1788333900000,29099.5,29101.0,29075.25,29079.25,1949.0,epoch_floor
434934,MNQ,1m,1788333960000,29079.0,29091.5,29075.0,29090.25,1377.0,epoch_floor
434935,MNQ,1m,1788334020000,29090.0,29102.0,29085.5,29085.5,1274.0,epoch_floor
434936,MNQ,1m,1788334080000,29086.0,29094.75,29084.5,29092.5,600.0,epoch_floor
434937,MNQ,1m,1788334140000,29093.75,29098.0,29090.25,29094.25,450.0,epoch_floor
434938,MNQ,1m,1788334200000,29093.75,29098.0,29093.0,29096.5,365.0,epoch_floor
434939,MNQ,1m,1788334260000,29097.0,29101.5,29086.75,29093.5,881.0,epoch_floor
434940,MNQ,1m,1788334320000,29093.75,29095.5,29086.5,29088.75,355.0,epoch_floor
434941,MNQ,1m,1788334380000,29089.25,29091.75,29080.25,29086.0,660.0,epoch_floor
434942,MNQ,1m,1788334440000,29085.75,29089.5,29079.0,29087.25,481.0,epoch_floor
434943,MNQ,1m,1788334500000,29088.0,29090.5,29077.25,29081.75,686.0,epoch_floor
434944,MNQ,1m,1788334560000,29082.5,29084.0,29078.75,29081.25,289.0,epoch_floor
434945,MNQ,1m,1788334620000,29080.75,29086.75,29080.75,29086.75,174.0,epoch_floor
434946,MNQ,1m,1788334680000,29086.25,29087.75,29075.75,29077.0,382.0,epoch_floor
434947,MNQ,1m,1788334740000,29076.75,29078.5,29070.75,29073.5,883.0,epoch_floor
434948,MNQ,1m,1788334800000,29073.0,29077.0,29064.0,29076.0,845.0,epoch_floor
434949,MNQ,1m,1788334860000,29076.5,29079.5,29069.5,29078.0,595.0,epoch_floor
434950,MNQ,1m,1788334920000,29078.0,29079.25,29072.5,29076.25,543.0,epoch_floor
434951,MNQ,1m,1788334980000,29076.75,29085.75,29074.75,29075.0,660.0,epoch_floor
434952,MNQ,1m,1788335040000,29075.0,29078.75,29070.0,29070.0,478.0,epoch_floor
434953,MNQ,1m,1788335100000,29070.0,29071.0,29060.0,29060.75,790.0,epoch_floor
434954,MNQ,1m,1788335160000,29061.75,29067.0,29061.0,29064.75,444.0,epoch_floor
434955,MNQ,1m,1788335220000,29065.0,29070.5,29062.25,29068.75,324.0,epoch_floor
434956,MNQ,1m,1788335280000,29069.5,29074.5,29067.0,29069.25,581.0,epoch_floor
434957,MNQ,1m,1788335340000,29068.25,29071.0,29062.5,29063.75,600.0,epoch_floor
434958,MNQ,1m,1788335400000,29063.5,29068.75,29059.0,29063.25,581.0,epoch_floor
434959,MNQ,1m,1788335460000,29064.25,29064.75,29059.25,29060.5,319.0,epoch_floor
434960,MNQ,1m,1788335520000,29060.25,29061.25,29049.75,29053.0,824.0,epoch_floor
434961,MNQ,1m,1788335580000,29052.5,29055.75,29051.75,29054.0,407.0,epoch_floor
434962,MNQ,1m,1788335640000,29054.0,29075.5,29054.0,29069.5,892.0,epoch_floor
434963,MNQ,1m,1788335700000,29068.25,29077.75,29067.25,29077.0,644.0,epoch_floor
434964,MNQ,1m,1788335760000,29077.0,29078.75,29067.25,29068.75,704.0,epoch_floor
434965,MNQ,1m,1788335820000,29069.25,29074.0,29068.0,29069.0,397.0,epoch_floor
434966,MNQ,1m,1788335880000,29070.0,29074.25,29069.25,29071.0,351.0,epoch_floor
434967,MNQ,1m,1788335940000,29070.25,29071.0,29061.5,29062.0,447.0,epoch_floor
434968,MNQ,1m,1788336000000,29062.25,29070.25,29052.0,29055.0,1779.0,epoch_floor
434969,MNQ,1m,1788336060000,29054.25,29068.25,29051.25,29056.75,919.0,epoch_floor
434970,MNQ,1m,1788336120000,29056.5,29069.75,29056.5,29062.75,1265.0,epoch_floor
434971,MNQ,1m,1788336180000,29063.0,29081.5,29058.25,29076.0,1273.0,epoch_floor
434972,MNQ,1m,1788336240000,29076.0,29098.0,29072.5,29094.75,1438.0,epoch_floor
434973,MNQ,1m,1788336300000,29094.75,29097.5,29080.0,29085.75,1122.0,epoch_floor
434974,MNQ,1m,1788336360000,29085.75,29086.75,29066.5,29076.0,1026.0,epoch_floor
434975,MNQ,1m,1788336420000,29076.5,29081.0,29071.25,29081.0,562.0,epoch_floor
434976,MNQ,1m,1788336480000,29081.25,29086.0,29073.0,29079.25,721.0,epoch_floor
434977,MNQ,1m,1788336540000,29078.5,29078.5,29068.5,29074.75,576.0,epoch_floor
434978,MNQ,1m,1788336600000,29075.0,29087.5,29071.0,29086.0,590.0,epoch_floor
