dimension,cell,n,W,L,F,sum_usd,mean_usd,mean_normal95_lo,mean_normal95_hi,win_decided,win_rate,wilson_lo,wilson_hi,R_n,R_mean,R_p50,hold_p25,hold_p50,hold_p75,days,verdict,ids,R_ids
day_type,trend_down,4,2,2,0,213.0,53.25,-80.46075611184017,186.96075611184017,4,0.5,0.15003570882017145,0.8499642911798285,0,,,42.12270416666667,72.15971666666667,92.99145416666666,3,NO VERDICT: n<30,"528,529,549,553",
vol_tercile,UNMEASURABLE,4,2,2,0,141.0,35.25,-70.03844713452659,140.5384471345266,4,0.5,0.15003570882017145,0.8499642911798285,0,,,12.745458333333334,44.48935,75.44861666666667,2,NO VERDICT: n<30,"521,522,523,533",
vol_tercile,high,18,6,11,1,-288.0,-16.0,-74.846259580934,42.84625958093401,17,0.35294117647058826,0.17309486143904904,0.5870003327878818,4,-0.3410609857978279,-0.3721804511278195,10.213725,17.271525,37.265816666666666,9,NO VERDICT: n<30,"531,532,542,543,544,547,548,549,552,555,559,569,570,575,585,589,590,591","570,575,585,591"
vol_tercile,low,18,5,13,0,-356.5,-19.805555555555557,-52.67595905279254,13.064847941681428,18,0.2777777777777778,0.12499569146355476,0.5087307754619452,2,0.7333333333333334,0.7333333333333334,15.027520833333334,36.428558333333335,67.02718333333333,7,NO VERDICT: n<30,"536,537,538,540,541,554,556,557,558,560,561,563,565,567,568,582,583,587","568,582"
vol_tercile,mid,18,5,12,1,37.071428000002925,2.0595237777779403,-50.21317471976691,54.33222227532279,17,0.29411764705882354,0.13279793865556405,0.5313353332621391,3,0.7109854829704076,0.9246231155778895,12.3322875,33.673833333333334,53.640425,9,NO VERDICT: n<30,"524,525,526,527,528,529,534,535,550,551,553,562,564,578,581,584,586,588","578,584,586"
era,strict,0,0,0,0,0,,,,0,,,,0,,,,,,0,NO VERDICT: n<30,,
hold_bucket,0-15,19,5,14,0,-317.5,-16.710526315789473,-54.222533039579595,20.80148040800065,19,0.2631578947368421,0.11806238339540162,0.48791968441070643,4,-0.19791666666666663,-1.0,3.6598083333333333,6.7736833333333335,12.223725,9,NO VERDICT: n<30,"523,531,535,538,544,552,553,556,561,564,565,568,569,581,584,585,586,588,590","568,584,585,586"
hold_bucket,15-30,12,1,10,1,-872.0,-72.66666666666667,-105.00696663466638,-40.32636669866696,11,0.09090909090909091,0.016231752262825964,0.3773646254862038,2,-0.3099415204678363,-0.3099415204678363,16.01615,19.7359,22.672041666666665,10,NO VERDICT: n<30,"522,527,543,547,551,558,559,563,575,583,589,591","575,591"
hold_bucket,30-60,13,5,7,1,184.57142800000292,14.197802153846379,-39.63403858107321,68.02964288876596,12,0.4166666666666667,0.19325746190524656,0.6804926643446271,2,1.6956448911222781,1.6956448911222781,37.59486666666667,42.09035,48.08906666666667,8,NO VERDICT: n<30,"525,526,529,540,542,548,550,555,560,567,578,582,587","578,582"
hold_bucket,60+,14,7,7,0,538.5,38.464285714285715,-35.6167128356383,112.54528426420973,14,0.5,0.2679886791947528,0.7320113208052473,1,0.2556390977443609,0.2556390977443609,75.55664166666666,88.18153333333333,106.49252916666666,7,NO VERDICT: n<30,"521,524,528,532,533,534,536,537,541,549,554,557,562,570",570
reject_session,ASIA,11,2,8,1,-234.0,-21.272727272727273,-56.32215980252948,13.77670525707493,10,0.2,0.05668094798069332,0.5098431532792765,0,,,8.40425,35.7314,59.42315833333333,4,NO VERDICT: n<30,"533,535,536,537,538,550,551,552,553,567,587",
reject_session,LONDON,8,5,3,0,538.5,67.3125,-10.308364825444968,144.93336482544498,8,0.625,0.3057378545838018,0.863158240538479,2,2.3375000000000004,2.3375000000000004,12.587525,27.9591,60.381395833333336,5,NO VERDICT: n<30,"521,529,554,564,565,581,582,584","582,584"
reject_session,NY,12,7,5,0,281.5,23.458333333333332,-47.8147562569705,94.73142292363715,12,0.5833333333333334,0.3195073356553728,0.8067425380947534,4,-0.3410609857978279,-0.3721804511278195,8.231608333333334,18.631341666666668,43.659795833333334,8,NO VERDICT: n<30,"523,524,544,547,548,549,560,569,570,575,585,591","570,575,585,591"
vol_session,low/ASIA,6,2,4,0,-81.5,-13.583333333333334,-75.45407761346769,48.287410946801025,6,0.3333333333333333,0.09676933255921684,0.7000116786584712,0,,,19.375925,40.843383333333335,64.36509166666667,4,NO VERDICT: n<30,"536,537,538,561,567,587",
vol_session,low/LONDON,11,2,9,0,-356.0,-32.36363636363637,-71.58191598588556,6.854643258612825,11,0.18181818181818182,0.05136660067100062,0.4769861375782449,2,0.7333333333333334,0.7333333333333334,15.377341666666666,25.314016666666667,65.95613333333333,6,NO VERDICT: n<30,"540,541,554,556,557,558,563,565,568,582,583","568,582"
vol_session,low/NY,1,1,0,0,81.0,81.0,,,1,1.0,0.20654329147389294,1.0,0,,,37.12571666666667,37.12571666666667,37.12571666666667,1,NO VERDICT: n<30,560,
vol_session,mid/ASIA,8,0,7,1,-408.9285719999971,-51.116071499999634,-72.54962831369,-29.682514686309272,7,0.0,0.0,0.35433884297520657,0,,,22.532825,33.673833333333334,48.1529625,3,NO VERDICT: n<30,"525,526,527,534,535,550,551,553",
vol_session,mid/LONDON,7,3,4,0,134.5,19.214285714285715,-77.07226855646039,115.5008399850318,7,0.42857142857142855,0.1582169222626268,0.7495457695909742,1,2.2083333333333335,2.2083333333333335,11.596383333333332,13.82785,80.315125,5,NO VERDICT: n<30,"528,529,562,564,581,584,588",584
vol_session,mid/NY,3,2,1,0,311.5,103.83333333333333,-81.82975807449363,289.4964247411603,3,0.6666666666666666,0.20765495512648788,0.9385096847238393,2,-0.03768844221105527,-0.03768844221105527,26.062416666666667,43.99661666666667,53.629325,3,NO VERDICT: n<30,"524,578,586","578,586"
vol_session,high/ASIA,1,0,1,0,-7.5,-7.5,,,1,0.0,0.0,0.7934567085261071,0,,,2.7192,2.7192,2.7192,1,NO VERDICT: n<30,552,
vol_session,high/LONDON,1,1,0,0,168.0,168.0,,,1,1.0,0.20654329147389294,1.0,0,,,38.407066666666665,38.407066666666665,38.407066666666665,1,NO VERDICT: n<30,555,
vol_session,high/NY,16,5,10,1,-448.5,-28.03125,-89.95882876392795,33.896328763927954,15,0.3333333333333333,0.15176100694691236,0.5828687484878702,4,-0.3410609857978279,-0.3721804511278195,11.550708333333334,17.271525,35.0461125,9,NO VERDICT: n<30,"531,532,542,543,544,547,548,549,559,569,570,575,585,589,590,591","570,575,585,591"
vol_session,UNMEASURABLE/ASIA,1,0,1,0,-54.5,-54.5,,,1,0.0,0.0,0.7934567085261071,0,,,73.415,73.415,73.415,1,NO VERDICT: n<30,533,
vol_session,UNMEASURABLE/LONDON,2,1,1,0,77.5,38.75,-155.77999999999997,233.27999999999997,2,0.5,0.09452865480086611,0.905471345199134,0,,,32.06014166666667,48.556583333333336,65.05302499999999,1,NO VERDICT: n<30,"521,522",
vol_session,UNMEASURABLE/NY,1,1,0,0,118.0,118.0,,,1,1.0,0.20654329147389294,1.0,0,,,4.290733333333334,4.290733333333334,4.290733333333334,1,NO VERDICT: n<30,523,
