id,plan_id,version,session,scenario,rule,condition,direction,entry_px,stop_px,target_px,fill_px,rr,atr5m,mfe,mae,mfe_r,mae_r,time_to_mfe_bars,time_to_resolve_bars,net_pnl,outcome,ambiguous,is_counterfactual,created_ct
122,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,8,NY,S2,1m_mss,reject,long,29160.25,29032.0,29161.16,29160.25,0.00709551656919965,25.2009192620424,0.909999999999854,0.0,0.00709551656919965,0.0,0,0,0.819999999999709,target,0,0,"2026-09-02 11:55:01"
123,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,9,NY,S3,1x5m_close,reject,short,29154.25,29344.75,29246.25,29154.25,-0.998316210533513,26.582997579061,0.0,0.0,0.0,0.0,0,0,0.0,open,0,0,"2026-09-02 12:26:30"
124,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,9,NY,S3,2x5m_close,reject,short,29148.5,29344.75,29246.25,29148.5,-0.998316045013741,25.2352324458626,0.0,0.0,0.0,0.0,0,0,0.0,open,0,0,"2026-09-02 12:30:30"
125,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,10,NY,S1,1x5m_close,reject,long,29157.0,29138.75,29246.25,29157.0,4.89041095890411,24.563029113567,1.5,12.75,0.0821917808219178,0.698630136986301,0,0,-6.5,open,0,0,"2026-09-02 13:04:29"
126,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,10,NY,S4,1x5m_close,reject,short,29157.0,29086.75,28927.25,29157.0,-0.997261508745574,24.563029113567,0.0,58243.75,0.0,1.0,0,0,-116488.5,stop,0,0,"2026-09-02 13:04:29"
127,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,10,NY,S1,touch,reject,long,29163.99,29138.75,29246.25,29163.99,3.25911251980956,23.5942413197408,2.2599999999984,8.7400000000016,0.0895404120443049,0.346275752773417,0,0,-5.4800000000032,open,0,0,"2026-09-02 13:06:29"
128,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,10,NY,S1,2x5m_close,reject,long,29161.5,29138.75,29246.25,29161.5,3.72527472527473,23.5942413197408,4.75,6.25,0.208791208791209,0.274725274725275,0,0,-0.5,open,0,0,"2026-09-02 13:06:29"
129,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,10,NY,S4,2x5m_close,reject,short,29161.5,29086.75,28927.25,29161.5,-0.997261720309194,23.5942413197408,0.0,58248.25,0.0,1.0,0,0,-116497.5,stop,0,0,"2026-09-02 13:06:29"
130,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,10,NY,S1,1m_mss,reject,long,29144.0,29138.75,29246.25,29144.0,19.4761904761905,23.4867444907803,8.5,2.75,1.61904761904762,0.523809523809524,0,0,-1.0,open,0,0,"2026-09-02 13:12:29"
131,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,10,NY,S4,1m_mss,reject,short,29144.0,29086.75,28927.25,29144.0,-0.997260897378104,23.4867444907803,0.0,58230.75,0.0,1.0,0,0,-116462.5,stop,0,0,"2026-09-02 13:12:29"
