symbol,tf,open_time_ms,o,h,l,c,v
MNQ,1m,1788344820000,28988.75,28991.25,28986.5,28990.0,367.0
MNQ,1m,1788344880000,28990.5,28992.25,28986.75,28987.5,396.0
MNQ,1m,1788344940000,28987.0,28987.5,28979.75,28986.25,436.0
MNQ,1m,1788345000000,28985.5,28989.25,28980.0,28983.5,564.0
MNQ,1m,1788345060000,28984.75,28985.5,28967.75,28968.5,972.0
MNQ,1m,1788345120000,28967.75,28976.5,28964.0,28968.5,758.0
MNQ,1m,1788345180000,28969.5,28978.75,28967.75,28977.0,397.0
MNQ,1m,1788345240000,28977.5,28978.0,28974.5,28974.75,212.0
MNQ,1m,1788345300000,28975.25,28982.5,28975.0,28977.25,400.0
MNQ,1m,1788345360000,28977.25,28981.0,28974.5,28977.5,334.0
MNQ,1m,1788345420000,28978.0,28979.25,28972.75,28975.5,430.0
MNQ,1m,1788345480000,28974.5,28975.0,28964.25,28966.75,421.0
MNQ,1m,1788345540000,28966.75,28968.25,28962.5,28965.0,433.0
MNQ,1m,1788345600000,28965.75,28968.25,28964.5,28966.75,276.0
MNQ,1m,1788345660000,28966.25,28966.5,28961.0,28962.25,325.0
MNQ,1m,1788345720000,28963.5,28970.0,28963.25,28965.75,381.0
MNQ,1m,1788345780000,28965.75,28966.5,28962.5,28963.5,199.0
MNQ,1m,1788345840000,28964.5,28968.25,28964.0,28966.5,221.0
MNQ,1m,1788345900000,28966.25,28971.75,28963.75,28967.5,490.0
MNQ,1m,1788345960000,28967.25,28968.25,28961.75,28962.75,285.0
MNQ,1m,1788346020000,28962.75,28969.5,28962.5,28969.0,238.0
MNQ,1m,1788346080000,28968.5,28974.25,28965.75,28973.0,430.0
MNQ,1m,1788346140000,28972.75,28978.75,28972.5,28978.0,383.0
MNQ,1m,1788346200000,28977.5,28978.0,28972.5,28973.75,250.0
MNQ,1m,1788346260000,28973.75,28974.5,28964.25,28970.0,395.0
MNQ,1m,1788346320000,28969.5,28969.5,28957.75,28961.0,706.0
MNQ,1m,1788346380000,28960.5,28969.75,28959.75,28968.75,332.0
MNQ,1m,1788346440000,28968.5,28975.0,28968.0,28972.75,437.0
MNQ,1m,1788346500000,28973.25,28976.75,28968.5,28972.25,279.0
MNQ,1m,1788346560000,28972.0,28976.75,28969.25,28970.0,290.0
MNQ,1m,1788346620000,28971.0,28978.0,28970.5,28977.25,356.0
MNQ,1m,1788346680000,28976.75,28978.25,28974.5,28975.25,210.0
MNQ,1m,1788346740000,28974.5,28988.25,28973.75,28987.0,1036.0
MNQ,1m,1788346800000,28987.25,28989.5,28952.5,28952.5,2202.0
MNQ,1m,1788346860000,28953.0,28954.5,28941.25,28943.0,1553.0
MNQ,1m,1788346920000,28942.75,28947.75,28935.25,28937.5,1914.0
MNQ,1m,1788346980000,28937.0,28939.75,28927.25,28933.75,1897.0
MNQ,1m,1788347040000,28933.0,28937.5,28932.75,28936.75,653.0
MNQ,1m,1788347100000,28935.75,28939.5,28932.5,28937.25,743.0
MNQ,1m,1788347160000,28937.0,28937.0,28927.25,28933.75,1172.0
MNQ,1m,1788347220000,28933.75,28954.0,28929.0,28953.0,1670.0
MNQ,1m,1788347280000,28952.75,28969.0,28948.5,28966.0,1806.0
MNQ,1m,1788347340000,28966.5,28993.0,28964.5,28980.25,2241.0
MNQ,1m,1788347400000,28979.75,28988.75,28969.0,28985.25,1543.0
MNQ,1m,1788347460000,28985.25,28990.0,28976.5,28982.0,1020.0
MNQ,1m,1788347520000,28982.25,28993.25,28980.25,28989.25,750.0
MNQ,1m,1788347580000,28988.5,28988.5,28982.5,28985.25,513.0
MNQ,1m,1788347640000,28986.5,29021.25,28983.75,29014.75,4372.0
MNQ,1m,1788347700000,29014.25,29027.25,29007.75,29013.5,2848.0
MNQ,1m,1788347760000,29013.75,29023.5,29011.75,29017.75,1362.0
MNQ,1m,1788347820000,29015.75,29017.0,29005.5,29006.75,1170.0
MNQ,1m,1788347880000,29006.5,29008.0,28995.0,28998.0,1201.0
MNQ,1m,1788347940000,28998.75,29011.25,28995.75,29008.25,1363.0
MNQ,1m,1788348000000,29008.25,29012.75,29001.5,29005.25,796.0
MNQ,1m,1788348060000,29004.5,29006.75,29002.5,29006.25,358.0
MNQ,1m,1788348120000,29005.5,29009.25,29004.0,29008.5,411.0
MNQ,1m,1788348180000,29008.75,29017.5,29001.0,29016.0,997.0
MNQ,1m,1788348240000,29015.75,29016.25,29010.25,29015.25,476.0
MNQ,1m,1788348300000,29015.25,29018.5,29011.5,29014.5,633.0
MNQ,1m,1788348360000,29013.75,29021.5,29012.5,29018.5,646.0
MNQ,1m,1788348420000,29018.75,29034.0,29018.75,29033.25,1268.0
MNQ,1m,1788348480000,29033.25,29036.0,29031.25,29031.75,896.0
MNQ,1m,1788348540000,29031.75,29032.75,29020.5,29022.5,834.0
MNQ,1m,1788348600000,29023.5,29031.0,29022.5,29029.25,453.0
MNQ,1m,1788348660000,29029.0,29029.5,29018.25,29022.0,660.0
MNQ,1m,1788348720000,29022.5,29038.25,29020.5,29036.25,851.0
MNQ,1m,1788348780000,29035.5,29045.5,29032.25,29045.5,1132.0
MNQ,1m,1788348840000,29045.0,29053.25,29040.5,29051.75,1371.0
MNQ,1m,1788348900000,29052.0,29058.75,29048.75,29056.75,1262.0
MNQ,1m,1788348960000,29056.75,29057.25,29046.5,29049.0,942.0
MNQ,1m,1788349020000,29048.75,29050.0,29045.0,29047.0,632.0
MNQ,1m,1788349080000,29047.5,29059.75,29045.75,29052.75,955.0
MNQ,1m,1788349140000,29052.5,29054.75,29049.75,29050.5,479.0
MNQ,1m,1788349200000,29050.25,29052.0,29041.0,29047.25,909.0
MNQ,1m,1788349260000,29047.25,29047.75,29034.0,29034.75,900.0
MNQ,1m,1788349320000,29035.25,29041.0,29032.75,29035.0,918.0
MNQ,1m,1788349380000,29034.75,29038.75,29027.0,29030.75,1395.0
MNQ,1m,1788349440000,29030.75,29030.75,29027.5,29029.5,533.0
MNQ,1m,1788349500000,29029.75,29036.0,29026.0,29033.25,816.0
MNQ,1m,1788349560000,29034.0,29035.25,29023.0,29034.25,888.0
MNQ,1m,1788349620000,29033.75,29034.25,29028.25,29030.25,482.0
MNQ,1m,1788349680000,29031.0,29033.25,29026.25,29026.75,406.0
MNQ,1m,1788349740000,29027.75,29029.0,29024.5,29025.25,511.0
MNQ,1m,1788349800000,29025.5,29030.0,29024.5,29027.25,412.0
MNQ,1m,1788349860000,29027.5,29029.75,29022.25,29024.0,504.0
MNQ,1m,1788349920000,29024.5,29034.0,29022.5,29031.25,802.0
MNQ,1m,1788349980000,29031.0,29036.5,29030.75,29032.5,555.0
MNQ,1m,1788350040000,29031.75,29048.0,29029.0,29039.75,1477.0
MNQ,1m,1788350100000,29039.75,29046.5,29036.75,29045.5,799.0
MNQ,1m,1788350160000,29045.0,29048.5,29040.5,29045.0,951.0
MNQ,1m,1788350220000,29045.0,29058.5,29044.0,29056.75,1257.0
MNQ,1m,1788350280000,29056.75,29068.0,29055.25,29067.75,1594.0
MNQ,1m,1788350340000,29067.5,29085.25,29066.0,29083.75,2033.0
MNQ,1m,1788350400000,29083.25,29084.5,29073.75,29080.25,2199.0
MNQ,1m,1788350460000,29079.75,29085.25,29077.75,29079.25,1049.0
MNQ,1m,1788350520000,29079.25,29080.5,29074.5,29076.25,1093.0
