ts_ct,session,event,reason,plan_version_in_force,plan_age_min,move_pts_15m,evidence
2026-09-02 11:40:30,NY,skipped,min_interval,2026-09-02:NY v7,20.2,-13.25,09-02 11:40:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29152.25 below 29246.25 (noise 7.64) on NY 2026-09-02 — SKIPPED: 25m elapsed < wake_min_interval_min (30m).
2026-09-02 11:42:30,NY,skipped,min_interval,2026-09-02:NY v7,22.2,-13.25,09-02 11:42:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29152.25 below 29246.25 (noise 7.65) on NY 2026-09-02 — SKIPPED: 27m elapsed < wake_min_interval_min (30m).
2026-09-02 11:44:30,NY,skipped,min_interval,2026-09-02:NY v7,24.2,-13.25,09-02 11:44:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29152.25 below 29246.25 (noise 7.73) on NY 2026-09-02 — SKIPPED: 29m elapsed < wake_min_interval_min (30m).
2026-09-02 11:45:00,NY,fired,proceed,2026-09-02:NY v7,24.7,15.75,"09-02 11:45:00 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29138.50 below 29246.25 (noise 7.23) on NY 2026-09-02 — waking the planner (W6, 5th wake-up)."
2026-09-02 11:48:30,NY,skipped,min_interval,2026-09-02:NY v8,1.3,15.75,09-02 11:48:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29138.50 below 29246.25 (noise 7.34) on NY 2026-09-02 — SKIPPED: 3m elapsed < wake_min_interval_min (30m).
2026-09-02 11:50:30,NY,skipped,min_interval,2026-09-02:NY v8,3.3,15.75,09-02 11:50:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29138.50 below 29246.25 (noise 7.34) on NY 2026-09-02 — SKIPPED: 5m elapsed < wake_min_interval_min (30m).
2026-09-02 11:52:30,NY,skipped,min_interval,2026-09-02:NY v8,5.3,15.75,09-02 11:52:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29138.50 below 29246.25 (noise 7.35) on NY 2026-09-02 — SKIPPED: 7m elapsed < wake_min_interval_min (30m).
2026-09-02 11:54:30,NY,skipped,min_interval,2026-09-02:NY v8,7.3,15.75,09-02 11:54:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29138.50 below 29246.25 (noise 7.53) on NY 2026-09-02 — SKIPPED: 9m elapsed < wake_min_interval_min (30m).
2026-09-02 11:55:00,NY,skipped,min_interval,2026-09-02:NY v8,7.8,15.75,09-02 11:55:00 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29138.50 below 29246.25 (noise 7.53) on NY 2026-09-02 — SKIPPED: 10m elapsed < wake_min_interval_min (30m).
2026-09-02 11:56:30,NY,skipped,min_interval,2026-09-02:NY v8,9.3,15.75,09-02 11:56:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29138.50 below 29246.25 (noise 7.54) on NY 2026-09-02 — SKIPPED: 11m elapsed < wake_min_interval_min (30m).
2026-09-02 11:58:30,NY,skipped,min_interval,2026-09-02:NY v8,11.3,15.75,09-02 11:58:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29138.50 below 29246.25 (noise 7.54) on NY 2026-09-02 — SKIPPED: 13m elapsed < wake_min_interval_min (30m).
2026-09-02 12:00:30,NY,skipped,min_interval,2026-09-02:NY v8,13.3,-10.25,09-02 12:00:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29154.50 below 29246.25 (noise 7.17) on NY 2026-09-02 — SKIPPED: 15m elapsed < wake_min_interval_min (30m).
2026-09-02 12:02:30,NY,skipped,min_interval,2026-09-02:NY v8,15.3,-10.25,09-02 12:02:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29154.50 below 29246.25 (noise 7.24) on NY 2026-09-02 — SKIPPED: 17m elapsed < wake_min_interval_min (30m).
2026-09-02 12:04:30,NY,skipped,min_interval,2026-09-02:NY v8,17.3,-10.25,09-02 12:04:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29154.50 below 29246.25 (noise 7.30) on NY 2026-09-02 — SKIPPED: 19m elapsed < wake_min_interval_min (30m).
2026-09-02 12:05:01,NY,skipped,min_interval,2026-09-02:NY v8,17.9,-10.25,09-02 12:05:01 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29154.50 below 29246.25 (noise 7.30) on NY 2026-09-02 — SKIPPED: 20m elapsed < wake_min_interval_min (30m).
2026-09-02 12:06:30,NY,skipped,min_interval,2026-09-02:NY v8,19.3,-10.25,09-02 12:06:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29154.50 below 29246.25 (noise 7.30) on NY 2026-09-02 — SKIPPED: 21m elapsed < wake_min_interval_min (30m).
2026-09-02 12:08:30,NY,skipped,min_interval,2026-09-02:NY v8,21.3,-10.25,09-02 12:08:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29154.50 below 29246.25 (noise 7.44) on NY 2026-09-02 — SKIPPED: 23m elapsed < wake_min_interval_min (30m).
2026-09-02 12:10:30,NY,skipped,min_interval,2026-09-02:NY v8,23.3,-10.25,09-02 12:10:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29154.50 below 29246.25 (noise 7.60) on NY 2026-09-02 — SKIPPED: 25m elapsed < wake_min_interval_min (30m).
2026-09-02 12:12:30,NY,skipped,min_interval,2026-09-02:NY v8,25.3,-10.25,09-02 12:12:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29154.50 below 29246.25 (noise 7.60) on NY 2026-09-02 — SKIPPED: 27m elapsed < wake_min_interval_min (30m).
